% of selected sales,% das vendas selecionadas,
"<div class=""container px-0"">
<div class=""row"" id=""fav_items""></div>
</div>","<div class=""container px-0"">
<div class=""row"" id=""fav_items""></div>
</div>",
"<div class=""container px-0"">
<div class=""row"" id=""restaurant_menu_items""></div>
</div>","<div class=""container px-0"">
<div class=""row"" id=""restaurant_menu_items""></div>
</div>",
"<div class=""container px-0"">
<div id=""restaurantCartItems""></div>
</div>","<div class=""container px-0"">
<div id=""restaurantCartItems""></div>
</div>",
"<li>Daily Gross Salary Cost is calculated from employees attendance.</li>
<br>","<li>O Custo Bruto Diário de Salários é calculado com base na frequência dos funcionários.</li>
<br>",
AC,Climatizado,
AMOUNT,VALOR,
About,Sobre,
Active Info,Informações Ativas,
Add Discount,Adicionar Desconto,
Add Item,Adicionar Item,
Additional Details,Detalhes Adicionais,
Address,Endereço,
Aggregator ID,ID do Aplicativo,
Aggregator Series Prefix,Prefixo de Série do Aplicativo,
Aggregator Settings,Configurações do Aplicativo,
Aggregators,Aplicativos,
Aggregators Settings,Configurações de Aplicativos,
All,Todos,
Allow Cashier To Edit And Remove Table Order Items,Permitir que o Caixa Edite e Remova Itens do Pedido da Mesa,
Allow Cashier To View All Status,Permitir que o Caixa Veja Todos os Status,
Amended From,Alterado De,
Amount,Montante,
An error occurred while printing,Ocorreu um erro ao imprimir,
Applied for both Sales Invoice and POS Invoice,Aplicado tanto para Fatura de Venda quanto para Fatura do PDV,
Apps,Aplicativos,
Arrived Time,Horário de Chegada,
At least one item must remain on the original bill.,Pelo menos um item deve permanecer na conta original.,
Bill,Fatura,
Bill Merge Details,Detalhes da Junção de Contas,
Block Takeaway KOT,Bloquear KOT de Para Viagem,
Branch,Filial,
Breakup,Detalhamento,
Burning Materials (Other Consumables),Materiais Consumíveis (Outros Consumíveis),
Buying Price,Preço de Compra,
Buying Price List,Lista de Preços de Compra,
Cancel,Cancelar,
Cancel Order,Cancelar Pedido,
Cancellation Reason,Motivo do Cancelamento,
Cancelled,Cancelado,
Cancelled Qty,Qtd. Cancelada,
Cannot merge an already merged table.,Não é possível juntar uma mesa que já está juntada.,
Cannot merge tables from different rooms.,Não é possível juntar mesas de salões diferentes.,
Cannot merge tables with separate active orders.,Não é possível juntar mesas com pedidos ativos separados.,
Cannot move more than available quantity for {0}.,Não é possível mover mais que a quantidade disponível de {0}.,
Cannot unmerge active tables.,Não é possível separar mesas ativas.,
Captain Transfer,Troca de Garçom,
Captain transfer is not allowed between different rooms,A troca de garçom não é permitida entre salões diferentes,
Cart Items,Itens do Carrinho,
Cashier,Caixa,
Checkout,Finalizar Compra,
Circle,Círculo,
Click Enter To Add,Clique em Enter para Adicionar,
Closing Amount,Valor de Fechamento,
Comment,Comentário,
Comments,Comentários,
Company,Empresa,
Confirm Cancellation,Confirmar Cancelamento,
